18.92,897.95,1056.10,42.571547,1.327913,29.0,172.1,09:14:52,.578469
18.78,898.46,1051.43,42.570645,1.328173,28.3,161.6,9:14:59,.576854
18.64,898.84,1047.93,42.570526,1.328223,27.9,161.4,09:15:0,2.575978
18.48,899.45,1042.38,42.569129,1.328500,27.9,211.1,09:15:12,.575087
18.35,900.16,1035.91,42.568263,1.328124,27.7,185.3,09:15:19,.574191
18.22,900.93,1028.87,42.567254,1.328232,34.5,192.5,09:15:26,.573416
18.10,901.39,1024.61,42.566580,1.328042,24.0,201.9,09:15:33,.572497
18.04,901.63,1022.40,42.565913,1.327908,24.0,197.7,09:15:39,.571547
17.99,901.88,1020.19,42.565085,1.327847,25.6,183.6,09:15:46,.570645
17.91,902.18,1017.42,42.564352,1.328076,21.9,159.3,9:15:53,.570526
17.80,902.54,1014.11,42.563647,1.328319,24.2,167.6,9:16:0,2.569129
17.70,903.00,1009.90,42.562845,1.328461,25.4,184.0,9:16:7,2.568263
17.59,903.54,1005.00,42.562121,1.328402,26.1,185.1,9:16:13,.567254
17.52,903.82,1002.41,42.561379,1.328676,23.2,157.8,9:16:20,.566580
17.53,904.18,999.11,42.560642,1.329056,24.8,158.4,9:16:27,2.565913
17.58,904.61,995.23,42.559856,1.329050,24.1,186.8,9:16:34,2.565085
17.66,904.86,992.95,42.559038,1.329260,24.3,181.5,9:16:41,2.564352
17.69,905.14,990.40,42.558332,1.329273,26.3,191.7,9:16:47,2.563647
17.63,905.51,987.00,42.557554,1.328815,25.1,203.7,9:16:54,2.562845
17.51,905.96,982.89,42.556738,1.328479,28.4,210.4,9:17:1,42.562121
17.40,906.44,978.60,42.556622,1.328377,29.5,213.0,9:17:2,42.561379
17.30,906.77,975.60,42.555071,1.327421,30.9,198.5,9:17:14,.560642,
17.16,907.16,971.98,42.554220,1.326754,29.5,213.9,9:17:21,.559856,
17.03,907.54,968.54,42.553662,1.325715,30.6,246.8,9:17:28,.559038,
16.90,907.86,965.69,42.553183,1.324630,29.6,253.3,9:17:35,.558332,
16.78,908.20,962.56,42.552794,1.323730,29.4,252.2,9:17:41,.557554,
16.70,908.51,959.74,42.551962,1.323248,28.1,202.0,9:17:48,.556738,
16.62,908.72,957.82,42.551326,1.322362,29.6,240.3,9:17:55,.556622,
16.57,908.93,955.89,42.550752,1.321263,31.1,231.7,9:18:2,2.555071,
16.49,909.28,952.72,42.550239,1.320150,30.9,231.8,9:18:9,2.554220,
16.40,909.60,949.83,42.550082,1.319130,25.7,259.8,9:18:15,.553662,
16.32,909.86,947.50,42.549915,1.318135,21.7,254.5,9:18:22,.553183,
16.23,910.12,945.21,42.549453,1.317476,21.7,202.3,9:18:29,.552794,
16.13,910.32,943.28,42.548801,1.317277,19.1,194.8,9:18:36,.551962,
16.03,910.55,941.18,42.548719,1.317240,19.0,199.7,9:18:37,.551326,
15.94,910.76,939.34,42.547854,1.316590,18.6,218.8,9:18:49,.550752,
15.88,910.92,937.90,42.547338,1.316024,22.8,218.7,9:18:56,.550239,
15.82,911.09,936.29,42.546782,1.315398,23.0,219.2,9:19:3,2.550082,
15.71,911.29,934.48,42.546700,1.315305,22.9,219.7,9:19:4,2.549915,
15.61,911.46,932.95,42.545663,1.314177,22.9,219.7,9:19:16,.549453,
15.53,911.54,932.22,42.544854,1.313434,32.1,210.1,9:19:23,.548801,
15.41,911.65,931.21,42.543957,1.312725,32.1,212.3,9:19:30,.548719,
15.30,911.93,928.69,42.543185,1.311729,34.4,229.7,9:19:37,.547854,
15.23,912.18,926.47,42.542436,1.310555,36.3,230.2,9:19:44,.547338,
15.17,912.48,923.70,42.541756,1.309485,38.3,229.8,9:19:50,.546782,
15.11,912.84,920.51,42.540985,1.308244,36.1,231.1,9:19:57,.546700,
15.05,913.15,917.71,42.540371,1.306911,36.6,246.8,9:20:4,2.545663,
15.05,913.46,914.86,42.540306,1.306697,37.0,248.3,9:20:5,2.544854,
15.11,913.90,910.93,42.539400,1.304033,39.4,233.8,9:20:17,.543957,
15.11,914.49,905.54,42.538935,1.302506,38.2,274.0,9:20:24,.543185,
15.13,915.00,900.97,42.539052,1.300854,37.0,269.8,9:20:31,.542436,
15.20,915.39,897.39,42.539041,1.300626,36.3,265.1,9:20:32,.541756,
15.27,915.75,894.22,42.538323,1.298183,32.6,244.0,9:20:44,.540985,
